corpo;dorso;peito;garupa;espadua;torax;alturaCernelha;ancas;relacaoDorsoGarupa;relacaoAltCernelhaCorpo;relacaoAncasDorso;relacaoToracicoAlturaCernelha;sexo;classe
1.33;1.31;0.32;1.33;0.46;1.6;1.3;0.45;0.984962406;0.977443609;0.34351145;1.230769231;1;0
1.43;1.37;0.27;1.42;0.51;1.66;1.41;0.42;0.964788732;0.986013986;0.306569343;1.177304965;1;1
1.53;1.36;0.42;1.44;0.58;1.76;1.44;0.51;0.944444444;0.941176471;0.375;1.222222222;0;2
1.34;1.36;0.34;1.37;0.43;1.57;1.36;0.44;0.99270073;1.014925373;0.323529412;1.154411765;0;0
1.37;1.33;0.3;1.37;0.46;1.54;1.35;0.41;0.97080292;0.98540146;0.308270677;1.140740741;1;1
1.42;1.36;0.27;1.4;0.45;1.55;1.38;0.4;0.971428571;0.971830986;0.294117647;1.123188406;0;1
1.46;1.36;0.35;1.47;0.58;1.66;1.48;0.46;0.925170068;1.01369863;0.338235294;1.121621622;0;0
1.45;1.4;0.34;1.45;0.56;1.66;1.44;0.47;0.965517241;0.993103448;0.335714286;1.152777778;0;0
1.41;1.38;0.38;1.44;0.54;1.59;1.41;0.49;0.958333333;1;0.355072464;1.127659574;0;2
1.36;0.51;0.33;1.4;0.47;1.63;1.39;0.45;0.364285714;1.022058824;0.882352941;1.172661871;1;0
1.42;1.34;0.27;1.36;0.45;1.65;1.37;0.4;0.985294118;0.964788732;0.298507463;1.204379562;0;1
1.5;1.42;0.36;1.5;0.55;1.69;1.49;0.45;0.946666667;0.993333333;0.316901408;1.134228188;0;0
1.4;1.33;0.3;1.36;0.43;1.62;1.35;0.41;0.977941176;0.964285714;0.308270677;1.2;0;1
1.43;1.36;0.34;1.4;0.46;1.74;1.42;0.46;0.971428571;0.993006993;0.338235294;1.225352113;0;2
1.46;1.4;0.36;1.43;0.47;1.67;1.3;0.42;0.979020979;0.890410959;0.3;1.284615385;1;0
1.39;1.34;0.28;1.37;0.43;1.5;1.36;0.42;0.97810219;0.978417266;0.313432836;1.102941176;0;0
1.43;1.36;0.38;1.41;0.55;1.68;1.41;0.44;0.964539007;0.986013986;0.323529412;1.191489362;1;2
1.43;1.35;0.37;1.4;0.53;1.69;1.41;0.44;0.964285714;0.986013986;0.325925926;1.19858156;1;2
1.4;1.32;0.34;1.36;0.45;1.62;1.35;0.45;0.970588235;0.964285714;0.340909091;1.2;0;1
1.42;1.32;0.35;1.39;0.55;1.63;1.37;0.44;0.949640288;0.964788732;0.333333333;1.189781022;1;1
1.37;1.35;0.3;1.39;0.46;1.63;1.37;0.42;0.971223022;1;0.311111111;1.189781022;0;1
1.43;1.32;0.37;1.4;0.59;1.69;1.38;0.48;0.942857143;0.965034965;0.363636364;1.224637681;1;2
1.47;1.34;0.38;1.42;0.6;1.69;1.41;0.46;0.943661972;0.959183673;0.343283582;1.19858156;0;2
1.48;1.38;0.38;1.47;0.61;1.61;1.45;0.51;0.93877551;0.97972973;0.369565217;1.110344828;1;2
1.45;1.4;0.34;1.45;0.53;1.62;1.43;0.4;0.965517241;0.986206897;0.285714286;1.132867133;0;2
1.38;1.34;0.27;1.37;0.44;1.77;1.37;0.42;0.97810219;0.992753623;0.313432836;1.291970803;0;1
1.4;1.41;0.34;1.39;0.47;1.62;1.39;0.4;1.014388489;0.992857143;0.283687943;1.165467626;0;0
1.45;1.38;0.34;1.43;0.46;1.61;1.33;0.44;0.965034965;0.917241379;0.31884058;1.210526316;1;0
1.44;1.41;0.34;1.44;0.58;1.61;1.43;0.43;0.979166667;0.993055556;0.304964539;1.125874126;0;2
1.47;1.35;0.36;1.42;0.55;1.66;1.43;0.49;0.950704225;0.972789116;0.362962963;1.160839161;1;2
