compCorp;altDorso;largPeito;altGarupa;compEspadua;compDorsLomb;altCernelha;largAncas;relacaoDorsoGarupa;relacaoAltCernelhaCorpo;relacaoAncasDorso;sexo
1.33;1.31;0.32;1.33;0.46;0.45;1.3;0.45;0.984962406;0.977443609;0.34351145;1
1.43;1.37;0.27;1.42;0.51;0.52;1.41;0.42;0.964788732;0.986013986;0.306569343;1
1.53;1.36;0.42;1.44;0.58;0.57;1.44;0.51;0.944444444;0.941176471;0.375;0
1.34;1.36;0.34;1.37;0.43;0.46;1.36;0.44;0.99270073;1.014925373;0.323529412;0
1.37;1.33;0.3;1.37;0.46;0.49;1.35;0.41;0.97080292;0.98540146;0.308270677;1
1.42;1.36;0.27;1.4;0.45;0.52;1.38;0.4;0.971428571;0.971830986;0.294117647;0
1.46;1.36;0.35;1.47;0.58;0.6;1.48;0.46;0.925170068;1.01369863;0.338235294;0
1.45;1.4;0.34;1.45;0.56;0.58;1.44;0.47;0.965517241;0.993103448;0.335714286;0
1.41;1.38;0.38;1.44;0.54;0.5;1.41;0.49;0.958333333;1;0.355072464;0
1.36;0.51;0.33;1.4;0.47;0.51;1.39;0.45;0.364285714;1.022058824;0.882352941;1
1.42;1.34;0.27;1.36;0.45;0.5;1.37;0.4;0.985294118;0.964788732;0.298507463;0
1.5;1.42;0.36;1.5;0.55;0.6;1.49;0.45;0.946666667;0.993333333;0.316901408;0
1.4;1.33;0.3;1.36;0.43;0.54;1.35;0.41;0.977941176;0.964285714;0.308270677;0
1.43;1.36;0.34;1.4;0.46;0.52;1.42;0.46;0.971428571;0.993006993;0.338235294;0
1.46;1.4;0.36;1.43;0.47;0.46;1.3;0.42;0.979020979;0.890410959;0.3;1
1.39;1.34;0.28;1.37;0.43;0.47;1.36;0.42;0.97810219;0.978417266;0.313432836;0
1.43;1.36;0.38;1.41;0.55;0.6;1.41;0.44;0.964539007;0.986013986;0.323529412;1
1.43;1.35;0.37;1.4;0.53;0.59;1.41;0.44;0.964285714;0.986013986;0.325925926;1
1.4;1.32;0.34;1.36;0.45;0.54;1.35;0.45;0.970588235;0.964285714;0.340909091;0
1.42;1.32;0.35;1.39;0.55;0.57;1.37;0.44;0.949640288;0.964788732;0.333333333;1
1.37;1.35;0.3;1.39;0.46;0.49;1.37;0.42;0.971223022;1;0.311111111;0
1.43;1.32;0.37;1.4;0.59;0.57;1.38;0.48;0.942857143;0.965034965;0.363636364;1
1.47;1.34;0.38;1.42;0.6;0.61;1.41;0.46;0.943661972;0.959183673;0.343283582;0
1.48;1.38;0.38;1.47;0.61;0.69;1.45;0.51;0.93877551;0.97972973;0.369565217;1
1.45;1.4;0.34;1.45;0.53;0.54;1.43;0.4;0.965517241;0.986206897;0.285714286;0
1.38;1.34;0.27;1.37;0.44;0.5;1.37;0.42;0.97810219;0.992753623;0.313432836;0
1.4;1.41;0.34;1.39;0.47;0.4;1.39;0.4;1.014388489;0.992857143;0.283687943;0
1.45;1.38;0.34;1.43;0.46;0.55;1.33;0.44;0.965034965;0.917241379;0.31884058;1
1.44;1.41;0.34;1.44;0.58;0.52;1.43;0.43;0.979166667;0.993055556;0.304964539;0
1.47;1.35;0.36;1.42;0.55;0.6;1.43;0.49;0.950704225;0.972789116;0.362962963;1
1.46;1.29;0.35;1.39;0.5;0.56;1.36;0.46;0.928057554;0.931506849;0.356589147;1
1.43;1.37;0.36;1.43;0.54;0.58;1.41;0.47;0.958041958;0.986013986;0.343065693;1
1.45;1.38;0.31;1.39;0.46;0.5;1.37;0.41;0.992805755;0.944827586;0.297101449;0
